title,number of ratings,price,url
"Pringles, Snack Stacks Potato Crisps Chips, Flavored Variety Pack, 19.5 Oz",593,69.00,/ip/Pringles-Snack-Stacks-Potato-Crisps-Chips-Flavored-Variety-Pack-19-5-Oz/453387822
"Pringles, Potato Crisps Chips, Original, 5.2 Oz",766,was 99.00,/ip/Pringles-Potato-Crisps-Chips-Original-5-2-Oz/47217461
"Pringles, Potato Crisps Chips, Sour Cream & Onion Flavored, 5.5 Oz",570,169.00,/ip/Pringles-Potato-Crisps-Chips-Sour-Cream-Onion-Flavored-5-5-Oz/108065286
"Pringles, Potato Crisps Chips, Original, Snack Stacks, 12 Ct, 8.04 Oz",157,was 199.00,/ip/Pringles-Potato-Crisps-Chips-Original-Snack-Stacks-12-Ct-8-04-Oz/23810290
"Pringles, Snack Stacks Potato Crisps Chips, Flavored Variety Pack, 27 Ct, 19.3 Oz",398,139.00,/ip/Pringles-Snack-Stacks-Potato-Crisps-Chips-Flavored-Variety-Pack-27-Ct-19-3-Oz/685744035
"Cheez-It, Baked Snack Cheese Crackers, Cheddar Jack, 12.4 Oz",161,was 229.00,/ip/Cheez-It-Baked-Snack-Cheese-Crackers-Cheddar-Jack-12-4-Oz/24553278
"Cheez-It, Baked Snack Cheese Crackers, Reduced Fat Original, Family Size, 19 Oz",174,9.37,/ip/Cheez-It-Baked-Snack-Cheese-Crackers-Reduced-Fat-Original-Family-Size-19-Oz/16627389
"Pringles, Potato Crisps Chips, Flavored Variety Pack, 15 Ct, 20.6 Oz",172,1.48,/ip/Pringles-Potato-Crisps-Chips-Flavored-Variety-Pack-15-Ct-20-6-Oz/691308069
"Cheez-It, Baked Snack Cheese Crackers, Original, Family Size, 21 Oz",1355,1.48,/ip/Cheez-It-Baked-Snack-Cheese-Crackers-Original-Family-Size-21-Oz/10996960
"(2 Pack) Annie's Macaroni and Cheese, Shells & Real Aged Cheddar Sauce Mac and Cheese, 11 oz Box",30,3.64,/ip/2-Pack-Annie-s-Macaroni-and-Cheese-Shells-Real-Aged-Cheddar-Sauce-Mac-and-Cheese-11-oz-Box/511279186
"Annie's White Cheddar Mac & Cheese, 4 ct, 8.04 oz",16,3.64,/ip/Annie-s-White-Cheddar-Mac-Cheese-4-ct-8-04-oz/55357909
"Annie's Shells & White Cheddar Mac & Cheese, 6 oz",45,5.98,/ip/Annie-s-Shells-White-Cheddar-Mac-Cheese-6-oz/10294616
"Organic Oat Bran. 1.5 Pounds - Non-GMO, Kosher, Raw, Vegan, Bulk, High Fiber Hot Cereal, Milled from High Protein Oats, Product of The USA - by ",5,5.74,/ip/Organic-Oat-Bran-1-5-Pounds-Non-GMO-Kosher-Raw-Vegan-Bulk-High-Fiber-Hot-Cereal-Milled-Protein-Oats-Product-The-USA-Food-Live/529228772?wpa_bd=&wpa_pg_seller_id=7380ECB973A14504AF45E656CFD3FBDF&wpa_ref_id=wpaqs:vTFudV1yPT_fAxwGhyzL3yzZ2ea2eJuc3YMcjOugZfSDB2Elj9sIt2-lo8X1kW17_DjkNpb-S9H7HlxGqJKXQJZWY3VS4aKWHmoUkjknRZAyLsNQYS3Xplz5JVD2TyKhoTNUKfyhZ260e58-cJ0kI-uDNUo22pOAn0LpPS2H13wi0gFbS21B7RI4cacQw6qtk0ned34jBJaowZ-VyKQp5g&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=4&wpa_plmt=__plmt__&wpa_aduid=__aduid__
Food,9,11.89,/ip/Annie-s-Organic-Pasta-Cheesy-Ravioli-in-Tomato-Cheese-Sauce/10535868
 to Live,14,4.48,/ip/12-pack-Annie-s-Organic-Shells-Aged-Cheddar-Mac-Cheese-6-oz/816515001
Annie's Organic Pasta Cheesy Ravioli in Tomato & Cheese Sauce,4,8.59,/ip/3-Pack-Annie-s-Organic-Mac-Cheese-Peace-Pasta-Parmesan-Mac-Cheese-6-oz/47238858
"(12 pack) Annie's Organic Shells & Aged Cheddar Mac & Cheese, 6 oz",8,6.49,/ip/Annie-s-Organic-White-Cheddar-Mac-Cheese-Grass-Fed-6oz/55357918
(3 Pack) Annie's Organic Mac & Cheese Peace Pasta & Parmesan Mac & Cheese 6 oz,15,41.99,/ip/3-Pack-Annie-s-Organic-Vegan-Shell-Pasta-and-Creamy-Sauce-6-oz/47235608
"Honey Maid Honey Graham Crackers, 14.4 oz",349,3.64,/ip/Honey-Maid-Honey-Graham-Crackers-14-4-oz/10292699
"(12 Cups) Del Monte Fruit Cup Snacks No Sugar Added Assorted Flavors, 4 oz fruit cups",355,3.64,/ip/12-Cups-Del-Monte-Fruit-Cup-Snacks-No-Sugar-Added-Assorted-Flavors-4-oz-fruit-cups/21849151
"Dole Fruit Bowls Mandarin Oranges in 100% Fruit Juice, 4 Oz Bowls, 12 Cups of Fruit",179,19.87,/ip/Dole-Fruit-Bowls-Mandarin-Oranges-in-100-Fruit-Juice-4-Oz-Bowls-12-Cups-of-Fruit/21949967
"Dole Fruit Bowls Yellow Cling Diced Peaches in 100% Fruit Juice, 4oz Bowls, 12 Cups",218,3.38,/ip/Dole-Fruit-Bowls-Yellow-Cling-Diced-Peaches-in-100-Fruit-Juice-4oz-Bowls-12-Cups/21268926
"Dinty Moore Beef Stew, 20 Ounce Can",777,5.98,/ip/Dinty-Moore-Beef-Stew-20-Ounce-Can/10290949
"Campbell's Chunky New England Clam Chowder, 18.8 oz. (Pack of 8)",27,11.96,/ip/Campbell-s-Chunky-New-England-Clam-Chowder-18-8-oz-Pack-of-8/507772215
"(4 pack) Campbell's Well Yes! Sipping Soup, Vegetable Soup On The Go, Broccoli & Sweet Potato, 11.1 Ounce Cup",281,6.58,/ip/4-pack-Campbell-s-Well-Yes-Sipping-Soup-Vegetable-Soup-On-The-Go-Broccoli-Sweet-Potato-11-1-Ounce-Cup/934733775
"(4 pack) Campbell's Soup, Well Yes!, Butternut Squash and Sweet Potato, Sipping Soup, 11.1 Ounce Microwavable Container",295,13.16,/ip/4-pack-Campbell-s-Soup-Well-Yes-Butternut-Squash-and-Sweet-Potato-Sipping-Soup-11-1-Ounce-Microwavable-Container/516437060
"Voortman Bakery Sugar Free! Vanilla Wafers, 9 oz",63,6.58,/ip/Voortman-Bakery-Sugar-Free-Vanilla-Wafers-9-oz/10321191
"(4 pack) Campbell's Soup, Well Yes!, Harvest Carrot and Ginger, Sipping Soup, 11.1 Ounce Microwavable Container",148,13.16,/ip/4-pack-Campbell-s-Soup-Well-Yes-Harvest-Carrot-and-Ginger-Sipping-Soup-11-1-Ounce-Microwavable-Container/915377848
"Great Value Tidbits Pineapple, 20 oz",21,3.64,/ip/Great-Value-Tidbits-Pineapple-20-oz/445433131
"Great Value Creamy Peanut Butter, 64 oz",926,19.87,/ip/Great-Value-Creamy-Peanut-Butter-64-oz/47375932
"Great Value Pineapple Chunks, 20 oz",82,4.98,/ip/Great-Value-Pineapple-Chunks-20-oz/10315437
"(12 Cans) Great Value Chunk Light Tuna in Water, 5 oz",809,0.98,/ip/12-Cans-Great-Value-Chunk-Light-Tuna-in-Water-5-oz/327699666
"Great Value Fruit Cocktail in Heavy Syrup, 29 oz",80,4.34,/ip/Great-Value-Fruit-Cocktail-in-Heavy-Syrup-29-oz/10315436
"Great Value Sliced Peaches in 100% Juice, 15 oz",51,0.98,/ip/Great-Value-Sliced-Peaches-in-100-Juice-15-oz/10415534
"Great Value Diced Mangos, 4 oz, 4 count",14,8.88,/ip/Great-Value-Diced-Mangos-4-oz-4-count/192256177
"Great Value Sliced Peaches, 29 oz",112,16.42,/ip/Great-Value-Sliced-Peaches-29-oz/10451004
"Great Value Pineapple Tidbits, 8 oz",31,1.64,/ip/Great-Value-Pineapple-Tidbits-8-oz/10315730
"Great Value Mandarin Oranges, 4 oz, 4 count",44,0.96,/ip/Great-Value-Mandarin-Oranges-4-oz-4-count/28026833
"Campbell's Condensed Tomato Soup, 10.75 oz. Cans (4 pack)",339,3.64,/ip/Campbell-s-Condensed-Tomato-Soup-10-75-oz-Cans-4-pack/43346748
"(4 Pack) Campbell's Chunky Steak & Potato Soup, 18.8 oz.",272,3.64,/ip/4-Pack-Campbell-s-Chunky-Steak-Potato-Soup-18-8-oz/47224410
"Campbell's Condensed Chicken Noodle Soup, 10.75 oz Cans (Pack of 4)",426,19.87,/ip/Campbell-s-Condensed-Chicken-Noodle-Soup-10-75-oz-Cans-Pack-of-4/43671426
"Campbell's Condensed Chicken Noodle Soup, 10.75 oz. Can",146,3.48,/ip/Campbell-s-Condensed-Chicken-Noodle-Soup-10-75-oz-Can/10321674
"Pacific Foods Organic Creamy Roasted Red Pepper and Tomato Soup, 32 fl oz",71,10.50,/ip/Pacific-Foods-Organic-Creamy-Roasted-Red-Pepper-and-Tomato-Soup-32-fl-oz/15529700
"(12 Packs) Maruchan Beef Instant Lunch, 2.25 oz",126,6.89,/ip/12-Packs-Maruchan-Beef-Instant-Lunch-2-25-oz/172310268
"(4 pack) Campbell's Chunky Soup, Pub-Style Chicken Pot Pie Soup, 18.8 Ounce Can",4,3.57,/ip/4-pack-Campbell-s-Chunky-Soup-Pub-Style-Chicken-Pot-Pie-Soup-18-8-Ounce-Can/568492777
"Campbell's Condensed Chicken Noodle Soup, 10.75 oz. Cans (6 pack)",44,10.68,/ip/Campbell-s-Condensed-Chicken-Noodle-Soup-10-75-oz-Cans-6-pack/266371429
"Great Value Cream of Mushroom Condensed Soup, 10.5 oz",62,0.98,/ip/Great-Value-Cream-of-Mushroom-Condensed-Soup-10-5-oz/10315222
"(2 pack) Maruchan Ramen Chicken Flavor, 12 ct, 3 oz",758,3.68,/ip/2-pack-Maruchan-Ramen-Chicken-Flavor-12-ct-3-oz/464197891
Food,14,3.64,/ip/Food-for-Life-Ezekiel-4-9-Bread-24-oz/196260377
" for Life Ezekiel 4:9 Bread, 24 oz",4,19.87,/ip/Food-for-Life-Ezekiel-4-9-Bread-24-oz/111452217
Food,1,4.98,/ip/Food-for-Life-Ezekiel-4-9-English-Muffins-6-ea/197909554
"FERRARA SWEET & SALTY Keebler Fudge Stripes Minis Original, Keebler Chips Deluxe Minis Original & Cheez-It Original Baked Snack Crackers Snack Variety Pack 20 ct Box",36,3.64,/ip/FERRARA-SWEET-SALTY-Keebler-Fudge-Stripes-Minis-Original-Chips-Deluxe-Original-Cheez-It-Baked-Snack-Crackers-Variety-Pack-20-ct-Box/37481759
"Hershey's, Halloween Chocolate Full Size Candy Bars Variety Pack, 27.3 Oz.",525,19.87,/ip/Hershey-s-Halloween-Chocolate-Full-Size-Candy-Bars-Variety-Pack-27-3-Oz/21288333
"Nabisco Fun Shapes Variety Pack Barnum's Animal Crackers, Teddy Grahams and CHIPS AHOY! Mini, Holiday Snacks, 20 - 1 oz Trick or Treat Snacks Packs",81,3.64,/ip/Nabisco-Fun-Shapes-Variety-Pack-Barnum-s-Animal-Crackers-Teddy-Grahams-and-CHIPS-AHOY-Mini-Holiday-Snacks-20-1-oz-Trick-or-Treat-Snacks-Packs/43200063
"Nabisco Cookie Variety Pack, OREO Mini, Nutter Butter Bites & Mini CHIPS AHOY!, 12 Snack Packs",73,6.88,/ip/Nabisco-Cookie-Variety-Pack-OREO-Mini-Nutter-Butter-Bites-Mini-CHIPS-AHOY-12-Snack-Packs/10824296
"Reese's, Peanut Butter Dipped Pretzels, 8.5 Oz.",61,13.24,/ip/Reese-s-Peanut-Butter-Dipped-Pretzels-8-5-Oz/312491740
"(2 Pack) Reese's Creamy Peanut Butter, 18 oz",124,6.98,/ip/2-Pack-Reese-s-Creamy-Peanut-Butter-18-oz/879033843
"Great Value Cheese Dip & Breadsticks Snacks, 1 Oz., 5 Count",67,4.68,/ip/Great-Value-Cheese-Dip-Breadsticks-Snacks-1-Oz-5-Count/13281897
"Hershey's, Strawberry Syrup, 48 Oz.",32,15.38,/ip/Hershey-s-Strawberry-Syrup-48-Oz/551724781
"Ferrara Sweet & Salty Cheez-It Original Crackers, Keebler Fudge Stripes Minis Original Cookies & Keebler Chips Deluxe Minis Original Cookies Snack Variety Pack 30 ct Box",52,6.78,/ip/Ferrara-Sweet-Salty-Cheez-It-Original-Crackers-Keebler-Fudge-Stripes-Minis-Cookies-Chips-Deluxe-Snack-Variety-Pack-30-ct-Box/51643172
"(4 Cans) BUMBLE BEE Solid White Albacore Tuna in Water, 5 Ounce Cans, Ready to Eat Tuna Fish, High Protein ",218,19.87,/ip/4-Cans-BUMBLE-BEE-Solid-White-Albacore-Tuna-in-Water-5-Ounce-Cans-Ready-to-Eat-Tuna-Fish-High-Protein-Food-and-Snacks/14940789
Food,196,3.64,/ip/Chosen-Foods-100-Pure-Avocado-Oil-750ml/147046935
 and Snacks,71,3.64,/ip/Pacific-Foods-Organic-Creamy-Roasted-Red-Pepper-and-Tomato-Soup-32-fl-oz/15529700
Chosen ,14,6.74,/ip/Dominguez-Family-Enterprises-Juanitas-Foods-Menudo-25-oz/10453026
Foods,7,10.98,/ip/Juanita-s-Foods-Menudo-94-0-OZ/10453027
 100% Pure Avocado Oil 750ml,18,3.68,/ip/2-Pack-Pacific-Foods-Organic-Creamy-Butternut-Squash-Soup-32-fl-oz/237503850
"Pacific Foods Organic Creamy Roasted Red Pepper and Tomato Soup, 32 fl oz",116,7.89,/ip/Cholula-Food-Cholula-Hot-Sauce-12-oz/10291827?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:xqSNyVumN55tgDv0yg2Wm7xGiBaQXU318_Tvg4Db-2FL5mVaFXEr1_6iz-WRnt_ngQSJ6odAn4kKNkJmVifRICEcn3t8A_7XwOAYfK3qgkXRfU9hOVVYxSC2CIHMQnXVFR1pIJzx8NKRXUdcALlb8ToPEZg33dU94g9smImiLmyMdY5153bkd72j61bdvMnMlNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=7&wpa_plmt=__plmt__&wpa_aduid=__aduid__
Dominguez Family Enterprises Juanitas ,28,3.68,/ip/2-Pack-Pacific-Foods-Organic-Creamy-Tomato-Soup-32-Ounce-Carton/234086108
Foods,8,11.58,/ip/3-pack-Pacific-Foods-Organic-Vegetable-Lentil-and-Roasted-Red-Pepper-Soup-17-fl-oz/349246395
(12 Cans) Armour Original Vienna Sausage 4.6 oz,559,3.64,/ip/12-Cans-Armour-Original-Vienna-Sausage-4-6-oz/44981956
"SPAM Classic, 1.5 Lb (Pack of 2)",982,19.87,/ip/SPAM-Classic-1-5-Lb-Pack-of-2/159980722
"(4 Cans) BUMBLE BEE Solid White Albacore Tuna in Water, 5 Ounce Cans, Ready to Eat Tuna Fish, High Protein ",218,5.98,/ip/4-Cans-BUMBLE-BEE-Solid-White-Albacore-Tuna-in-Water-5-Ounce-Cans-Ready-to-Eat-Tuna-Fish-High-Protein-Food-and-Snacks/14940789
Food,895,5.52,/ip/Great-Value-Chunk-Chicken-Breast-12-5-oz-4-Count/49914752
 and Snacks,1717,5.46,/ip/2-Pack-Great-Value-Pure-Cane-Sugar-4-lb/698454167
"Great Value Chunk Chicken Breast, 12.5 oz, 4 Count",206,6.74,/ip/2-Pack-SWEET-SUE-Chicken-and-Dumplings-High-Protein-Snacks-24oz-can/847504328
"(2 Pack) Great Value Pure Cane Sugar, 4 lb",607,7.48,/ip/StarKist-Chunk-Light-Tuna-in-Water-5-oz-Can-8-Pack/48387973
"(2 Pack) SWEET SUE Chicken and Dumplings, High Protein Snacks, 24oz can",1059,44.88,/ip/Cheerios-Whole-Grain-Oats-Cereal-Gluten-Free-18-oz/10311410
StarKist Chunk Light Tuna in Water - 5 oz Can (8-Pack),278,4.58,/ip/Sweet-Baby-Ray-s-Barbecue-Sauce-40-Oz/10294611
"belVita Soft Baked Banana Bread Breakfast Biscuits, 5 Packs (1 Biscuit Per Pack)",550,3.64,/ip/belVita-Soft-Baked-Banana-Bread-Breakfast-Biscuits-5-Packs-1-Biscuit-Per-Pack/34312391
"belVita Toasted Coconut Breakfast Biscuits, 5 Packs (4 Biscuits Per Pack)",165,3.64,/ip/belVita-Toasted-Coconut-Breakfast-Biscuits-5-Packs-4-Biscuits-Per-Pack/132714110
"Jif Creamy Peanut Butter, 40-Ounce Jar",780,3.64,/ip/Jif-Creamy-Peanut-Butter-40-Ounce-Jar/10308250
"belVita Cranberry Orange Breakfast Biscuits, 5 Packs (4 Biscuits Per Pack)",412,2.50,/ip/belVita-Cranberry-Orange-Breakfast-Biscuits-5-Packs-4-Biscuits-Per-Pack/44754087
"Great Value Chewy Variety Pack Granola Bars Value Pack, 0.84 oz, 24 Count",622,2.50,/ip/Great-Value-Chewy-Variety-Pack-Granola-Bars-Value-Pack-0-84-oz-24-Count/39127386
"belVita Blueberry Breakfast Biscuits, 12 Packs (4 Biscuits Per Pack)",223,5.64,/ip/belVita-Blueberry-Breakfast-Biscuits-12-Packs-4-Biscuits-Per-Pack/48966029
"belVita Soft Baked Oats & Chocolate Breakfast Biscuits, 5 Packs (1 Biscuit Per Pack)",146,2.50,/ip/belVita-Soft-Baked-Oats-Chocolate-Breakfast-Biscuits-5-Packs-1-Biscuit-Per-Pack/26811023
"belVita Chocolate Mini Breakfast Biscuit Bites, 5 Packs",45,2.84,/ip/belVita-Chocolate-Mini-Breakfast-Biscuit-Bites-5-Packs/40999658
"belVita Sandwich Peanut Butter Breakfast Biscuits, 5 Packs (2 Sandwiches Per Pack)",120,6.24,/ip/belVita-Sandwich-Peanut-Butter-Breakfast-Biscuits-5-Packs-2-Sandwiches-Per-Pack/50259427
Imagine ,4,3.64,/ip/Imagine-Foods-Tomato-Soup-Tomato-Soup-Case-of-12-32-oz/25618846
Foods,48,19.87,/ip/Pack-of-9-Gerber-Organic-2nd-Food-Baby-Food-Value-Pack-Pear-Peach-Strawberry-Carrot-Apple-Mango-Apple-Blueberry-Spinach-3-5-oz-Pouches/319905773?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:KEY8y6WOYAa4KKHFYbF05xqGDWBU1Il_P4wn89IuhJRIYPgQAsp6jmUmkwzZFwGZ9YYJoTUwhNTE3zkULQJUA0f9TsSqLnIGHnhmlW2yLMCHjDd9E4mGuWz6K1HInjyZFR1pIJzx8NKRXUdcALlb8ToPEZg33dU94g9smImiLmxWo2SmE01SsofffT-JWzxAlNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=2&wpa_plmt=__plmt__&wpa_aduid=__aduid__
 Tomato Soup - Tomato Soup - Case of 12 - 32 oz.,2081,3.64,/ip/Gerber-2nd-Foods-Apple-Baby-Food-4-oz-Tubs-2-Count/43160762?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:D_Fx3VPT85DPZdyam8JlwRqGDWBU1Il_P4wn89IuhJRIYPgQAsp6jmUmkwzZFwGZ9YYJoTUwhNTE3zkULQJUA_X6kCwi5_1XUyJ3Y3uYweJ3eer3Z33c49wJ2NVV27lSDnEqhCvdeYW9KEKssDElJLVxI8Xm5D7-7OYkcHTX7qNYcaX241-YOMjrz2qHjg764t1OCtD9WKsGqRyfP49k9w&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__
(Pack of 9) Gerber Organic 2nd ,73,2.98,/ip/2-pack-Pacific-Foods-Organic-Vegan-Tomato-Basil-Soup-32-fl-oz/748351007
Food,6,11.94,/ip/2-Pack-Pacific-Foods-Organic-Vegetable-Quinoa-Soup-17-Ounces/196801386
 Baby ,2,1.06,/ip/Imagine-Foods-Soup-Creamy-Butternut-Squash-32-Fl-Oz/29905509
Food,2,1.32,/ip/Imagine-Foods-Potato-Leek-Soup-Creamy-32-oz/29921297
" Value Pack, Pear Peach Strawberry, Carrot Apple Mango & Apple Blueberry Spinach, 3.5 oz Pouches",3,7.86,/ip/Imagine-Foods-Soup-Organic-Super-Greens-Soup-32-fl-oz/785814522
Gerber Baby ,78,6.67,/ip/Native-Forest-Organic-Young-Jackfruit-in-Water-14-oz/309110048
"Campbell's Condensed Tomato Soup, 10.75 oz. Cans (4 pack)",339,69.00,/ip/Campbell-s-Condensed-Tomato-Soup-10-75-oz-Cans-4-pack/43346748
(12 Cans) Armour Original Vienna Sausage 4.6 oz,559,was 99.00,/ip/12-Cans-Armour-Original-Vienna-Sausage-4-6-oz/44981956
"DAK Fully Cooked Premium Ham, 16 oz Can",761,169.00,/ip/DAK-Fully-Cooked-Premium-Ham-16-oz-Can/10308362
"(4 Pack) Campbell's Chunky Steak & Potato Soup, 18.8 oz.",272,was 199.00,/ip/4-Pack-Campbell-s-Chunky-Steak-Potato-Soup-18-8-oz/47224410
"Campbell's Condensed Chicken Noodle Soup, 10.75 oz. Can",146,199.00,/ip/Campbell-s-Condensed-Chicken-Noodle-Soup-10-75-oz-Can/10321674
"Campbell's Condensed Chicken Noodle Soup, 10.75 oz Cans (Pack of 4)",426,3.48,/ip/Campbell-s-Condensed-Chicken-Noodle-Soup-10-75-oz-Cans-Pack-of-4/43671426
"Great Value Chunk Chicken Breast, 12.5 oz, 4 Count",895,10.50,/ip/Great-Value-Chunk-Chicken-Breast-12-5-oz-4-Count/49914752
"(2 Pack) SWEET SUE Chicken and Dumplings, High Protein Snacks, 24oz can",206,5.52,/ip/2-Pack-SWEET-SUE-Chicken-and-Dumplings-High-Protein-Snacks-24oz-can/847504328
"Kraft Grated Cheese, Parmesan Cheese, 16 oz Jar",1980,3.97,/ip/Kraft-Grated-Cheese-Parmesan-Cheese-16-oz-Jar/10295354
"FERRARA SWEET & SALTY Keebler Fudge Stripes Minis Original, Keebler Chips Deluxe Minis Original & Cheez-It Original Baked Snack Crackers Snack Variety Pack 20 ct Box",36,4.98,/ip/FERRARA-SWEET-SALTY-Keebler-Fudge-Stripes-Minis-Original-Chips-Deluxe-Original-Cheez-It-Baked-Snack-Crackers-Variety-Pack-20-ct-Box/37481759
"Werther's Original Caramel Hard Candies, 34 Oz.",409,19.87,/ip/Werther-s-Original-Caramel-Hard-Candies-34-Oz/10448116
Nestle Toll House Semi Sweet Chocolate Chunks 11.5 oz.,64,3.64,/ip/Nestle-Toll-House-Semi-Sweet-Chocolate-Chunks-11-5-oz/10291377
"Great Value Gummy Bears, 52 oz",133,6.88,/ip/Great-Value-Gummy-Bears-52-oz/162600781
Great Value Fiber Brownie Chocolate Fudge Value Pack 10.69 oz 12 ct,64,9.98,/ip/Great-Value-Fiber-Brownie-Chocolate-Fudge-Value-Pack-10-69-oz-12-ct/163790745
"Great Value Rainbow Sprinkles, 9 oz",42,11.47,/ip/Great-Value-Rainbow-Sprinkles-9-oz/407607432
"Welch's Fruit Snacks, Mixed Fruit, 80 ct, 0.9 oz",339,13.60,/ip/Welch-s-Fruit-Snacks-Mixed-Fruit-80-ct-0-9-oz/132070516
